Kansas State,21,Iowa State,24
Kansas,31,Fresno State,7
Western Kentucky,41,Sam Houston,24
Hawai'i,23,Stanford,20
South Florida,34,Boise State,7
Rutgers,34,Ohio,31
NC State,24,East Carolina,17
UCF,17,Jacksonville State,10
Akron,0,Wyoming,10
Minnesota,23,Buffalo,10
Wisconsin,17,Miami (OH),0
Cincinnati,17,Nebraska,20
Charlotte,11,App State,34
Wake Forest,10,Kennesaw State,9
Michigan State,23,Western Michigan,6
Baylor,24,Auburn,38
Colorado,20,Georgia Tech,27
Sam Houston,21,UNLV,38
San José State,14,Central Michigan,16
Tennessee,45,Syracuse,26
Ohio State,14,Texas,7
Maryland,39,Florida Atlantic,7
Southern Miss,17,Mississippi State,34
Tulane,23,Northwestern,3
Purdue,31,Ball State,0
Kentucky,24,Toledo,16
Indiana,27,Old Dominion,14
Georgia,45,Marshall,7
Florida State,31,Alabama,17
Massachusetts,10,Temple,42
Penn State,46,Nevada,11
Virginia,48,Coastal Carolina,7
Texas A&M,42,UTSA,24
Clemson,10,LSU,17
Michigan,34,New Mexico,17
Utah State,28,UTEP,16
USC,73,Missouri State,13
Ole Miss,63,Georgia State,7
Texas State,52,Eastern Michigan,27
Louisiana,12,Rice,14
Fresno State,42,Georgia Southern,14
Arizona,40,Hawai'i,6
Oregon State,15,California,34
UCLA,10,Utah,43
Washington,38,Colorado State,21
South Carolina,24,Virginia Tech,11
Miami,27,Notre Dame,24
North Carolina,14,TCU,48
Louisville,28,James Madison,14
Maryland,20,Northern Illinois,9
Texas Tech,62,Kent State,14
Iowa State,16,Iowa,13
Jacksonville State,34,Liberty,24
Penn State,34,Florida International,0
SMU,45,Baylor,48
Duke,19,Illinois,45
Syracuse,27,UConn,20
NC State,35,Virginia,31
Indiana,56,Kennesaw State,9
Pittsburgh,45,Central Michigan,17
Texas,38,San José State,7
Texas A&M,44,Utah State,22
Rutgers,45,Miami (OH),17
Oregon,69,Oklahoma State,3
Clemson,27,Troy,16
Kentucky,23,Ole Miss,30
Oregon State,27,Fresno State,36
Cincinnati,34,Bowling Green,20
Colorado,31,Delaware,7
Western Michigan,30,North Texas,33
UTSA,36,Texas State,43
Navy,38,UAB,24
Missouri,42,Kansas,31
Wisconsin,42,Middle Tennessee,10
Ohio,17,West Virginia,10
Florida,16,South Florida,18
Arkansas,56,Arkansas State,14
Marshall,20,Missouri State,21
Rice,9,Houston,35
South Alabama,31,Tulane,33
Toledo,45,Western Kentucky,21
Kansas State,21,Army,24
Georgia State,16,Memphis,38
Charlotte,3,North Carolina,20
Michigan State,42,Boston College,40
Nebraska,68,Akron,0
Oklahoma,24,Michigan,13
LSU,23,Louisiana Tech,7
USC,59,Georgia Southern,20
Auburn,42,Ball State,3
Virginia Tech,20,Vanderbilt,44
Mississippi State,24,Arizona State,20
Alabama,73,UL Monroe,0
UNLV,30,UCLA,23
New Mexico State,21,Tulsa,14
Washington State,36,San Diego State,13
BYU,27,Stanford,3
Hawai'i,37,Sam Houston,20
Wake Forest,24,NC State,34
Houston,36,Colorado,20
Arizona,23,Kansas State,17
UCLA,10,New Mexico,35
Alabama,38,Wisconsin,14
Michigan,63,Central Michigan,3
Northwestern,14,Oregon,34
Temple,3,Oklahoma,42
Troy,7,Memphis,28
Georgia Tech,24,Clemson,21
Kent State,28,Buffalo,31
Auburn,31,South Alabama,15
Missouri,52,Louisiana,10
Delaware,44,UConn,41
Missouri State,10,SMU,28
West Virginia,31,Pittsburgh,24
North Texas,59,Washington State,10
Purdue,17,USC,33
Tennessee,41,Georgia,44
Texas Tech,45,Oregon State,14
Arkansas State,16,Iowa State,24
Texas,27,UTEP,10
Miami,49,South Florida,12
Bowling Green,23,Liberty,13
Nevada,13,Middle Tennessee,14
Florida International,38,Florida Atlantic,28
Georgia Southern,41,Jacksonville State,34
Illinois,38,Western Michigan,0
Southern Miss,38,App State,22
Ole Miss,41,Arkansas,35
Virginia Tech,26,Old Dominion,45
Ohio State,37,Ohio,9
Louisiana Tech,49,New Mexico State,14
Kentucky,48,Eastern Michigan,23
Coastal Carolina,0,East Carolina,38
Notre Dame,40,Texas A&M,41
Iowa,47,Massachusetts,7
LSU,20,Florida,10
South Carolina,7,Vanderbilt,31
Tulane,34,Duke,27
Wyoming,6,Utah,31
Tulsa,23,Navy,42
UAB,31,Akron,28
Utah State,49,Air Force,30
California,27,Minnesota,14
Arizona State,34,Texas State,15
Stanford,30,Boston College,20
Charlotte,17,Rice,28
Oklahoma State,12,Tulsa,19
Rutgers,28,Iowa,38
Wisconsin,10,Maryland,27
TCU,35,SMU,24
Clemson,21,Syracuse,34
Army,38,North Texas,45
Utah,10,Texas Tech,34
Louisville,40,Bowling Green,17
Memphis,32,Arkansas,31
Miami (OH),38,UNLV,41
Tennessee,56,UAB,24
Oregon,41,Oregon State,7
Liberty,13,James Madison,31
Eastern Michigan,34,Louisiana,31
UCF,34,North Carolina,9
Ole Miss,45,Tulane,10
Florida State,66,Kent State,10
Oklahoma,24,Auburn,17
Buffalo,17,Troy,21
Western Michigan,14,Toledo,13
Notre Dame,56,Purdue,30
Nebraska,27,Michigan,30
UConn,31,Ball State,25
Duke,45,NC State,33
Mississippi State,38,Northern Illinois,10
Georgia Tech,45,Temple,24
Florida International,16,Delaware,38
Kennesaw State,28,Arkansas State,21
Kansas,41,West Virginia,10
Air Force,37,Boise State,49
Missouri,29,South Carolina,20
Middle Tennessee,28,Marshall,42
Western Kentucky,31,Nevada,16
South Alabama,20,Coastal Carolina,38
Washington State,24,Washington,59
Miami,26,Florida,7
Baylor,24,Arizona State,27
Virginia,48,Stanford,20
East Carolina,13,BYU,34
Louisiana Tech,30,Southern Miss,20
Indiana,63,Illinois,10
Vanderbilt,70,Georgia State,21
Texas,55,Sam Houston,0
UTEP,25,UL Monroe,31
Colorado State,16,UTSA,17
Colorado,37,Wyoming,20
San Diego State,34,California,0
USC,45,Michigan State,31
Hawai'i,21,Fresno State,23
East Carolina,28,Army,6
Virginia,46,Florida State,38
Arizona State,27,TCU,24
Oregon State,24,Houston,27
Syracuse,3,Duke,38
Arkansas,13,Notre Dame,56
Kansas,34,Cincinnati,37
Minnesota,31,Rutgers,28
Ohio,35,Bowling Green,20
North Texas,36,South Alabama,22
Illinois,34,USC,32
Kansas State,34,UCF,20
Pittsburgh,27,Louisville,34
Wake Forest,29,Georgia Tech,30
Vanderbilt,55,Utah State,35
Central Michigan,24,Eastern Michigan,13
James Madison,35,Georgia Southern,10
UL Monroe,28,Arkansas State,16
Northwestern,17,UCLA,14
Boston College,24,California,28
West Virginia,14,Utah,48
Washington,6,Ohio State,24
Texas A&M,16,Auburn,10
Northern Illinois,3,San Diego State,6
Iowa,15,Indiana,20
Buffalo,17,UConn,20
Oklahoma State,27,Baylor,45
Ole Miss,24,LSU,19
Navy,21,Rice,13
Toledo,45,Akron,3
