,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
63,AUS,GDP,TOT,USD_CAP,A,1960,2412.627589,
64,AUS,GDP,TOT,USD_CAP,A,1961,2383.188902,
65,AUS,GDP,TOT,USD_CAP,A,1962,2577.332834,
66,AUS,GDP,TOT,USD_CAP,A,1963,2752.620592,
67,AUS,GDP,TOT,USD_CAP,A,1964,2902.590472,
68,AUS,GDP,TOT,USD_CAP,A,1965,3001.900269,
69,AUS,GDP,TOT,USD_CAP,A,1966,3275.5947539999997,
70,AUS,GDP,TOT,USD_CAP,A,1967,3447.1280119999997,
71,AUS,GDP,TOT,USD_CAP,A,1968,3833.1008869999996,
72,AUS,GDP,TOT,USD_CAP,A,1969,4207.9000590000005,
73,AUS,GDP,TOT,USD_CAP,A,1970,4652.052554999999,
74,AUS,GDP,TOT,USD_CAP,A,1971,4863.656325,
75,AUS,GDP,TOT,USD_CAP,A,1972,5210.710998,
76,AUS,GDP,TOT,USD_CAP,A,1973,5796.441599,
77,AUS,GDP,TOT,USD_CAP,A,1974,6245.992541,
78,AUS,GDP,TOT,USD_CAP,A,1975,6939.246846999999,
79,AUS,GDP,TOT,USD_CAP,A,1976,7396.879985,
80,AUS,GDP,TOT,USD_CAP,A,1977,7727.601527,
81,AUS,GDP,TOT,USD_CAP,A,1978,8553.932397,
82,AUS,GDP,TOT,USD_CAP,A,1979,9456.681329000001,
83,AUS,GDP,TOT,USD_CAP,A,1980,10478.423270000001,
84,AUS,GDP,TOT,USD_CAP,A,1981,11956.491970000001,
85,AUS,GDP,TOT,USD_CAP,A,1982,11988.84395,
86,AUS,GDP,TOT,USD_CAP,A,1983,12781.12566,
87,AUS,GDP,TOT,USD_CAP,A,1984,13609.040019999999,
88,AUS,GDP,TOT,USD_CAP,A,1985,14514.107369999998,
89,AUS,GDP,TOT,USD_CAP,A,1986,14983.68619,
90,AUS,GDP,TOT,USD_CAP,A,1987,16053.057509999999,
91,AUS,GDP,TOT,USD_CAP,A,1988,17129.659480000002,
92,AUS,GDP,TOT,USD_CAP,A,1989,17835.12296,
93,AUS,GDP,TOT,USD_CAP,A,1990,17838.098140000002,
94,AUS,GDP,TOT,USD_CAP,A,1991,18177.563680000003,
95,AUS,GDP,TOT,USD_CAP,A,1992,19157.69096,
